"","x"
"337","cg17431922"
"338","cg13100118"
"339","cg22045437"
"340","cg20686963"
"341","cg00755546"
"342","cg11719836"
"343","cg06094142"
"344","cg25009258"
"345","cg03987246"
"346","cg17173397"
"347","cg15653910"
"348","cg16814796"
"349","cg20697630"
"350","cg12429444"
"351","cg14565919"
"352","cg27312359"
"353","cg08890418"
"354","cg23677039"
"355","cg00577361"
"356","cg26572042"
"357","cg08463298"
"358","cg17216478"
"359","cg13377965"
"360","cg07142010"
"361","cg00631482"
"362","cg10538929"
"363","cg24447680"
"364","cg25940827"
"365","cg09182375"
"366","cg26535650"
"367","cg15597364"
"368","cg23802451"
"369","cg04161137"
"370","cg00937518"
"371","cg09136099"
"372","cg15447913"
"373","cg24368899"
"374","cg07785945"
"375","cg11811391"
"376","cg16430505"
"377","cg18167329"
"378","cg09896346"
"379","cg10708588"
"380","cg08261032"
"381","cg08279092"
"382","cg15988345"
"383","cg07595346"
"384","cg23021014"
"385","cg04552500"
"386","cg15561201"
"387","cg16712094"
"388","cg03255942"
"389","cg15712177"
"390","cg19270505"
"391","cg04221877"
"392","cg15014975"
"393","cg07236781"
"394","cg18975416"
"395","cg16663955"
"396","cg14516704"
"397","cg22019094"
"398","cg05625889"
"399","cg08948442"
"400","cg11240755"
"401","cg22943243"
"402","cg06216620"
"403","cg26314868"
"404","cg02858843"
"405","cg00703260"
"406","cg23267217"
"407","cg24930443"
"408","cg17158829"
"409","cg10121294"
"410","cg11529190"
"411","cg22494505"
"412","cg03940437"
"413","cg23214166"
"414","cg06641938"
"415","cg04990556"
"416","cg23732845"
"417","cg12813724"
"418","cg06368558"
"419","cg16720365"
"420","cg05304531"
"421","cg16395432"
"422","cg24544309"
"423","cg23283076"
"424","cg08939008"
"425","cg21290647"
"426","cg24367850"
"427","cg13399755"
"428","cg24943329"
"429","cg18267790"
"430","cg17820878"
"431","cg18594482"
"432","cg03769927"
"433","cg26151283"
"434","cg07022953"
"435","cg16968115"
"436","cg12748890"
"437","cg14783891"
"438","cg05590948"
"439","cg22627866"
"440","cg10533011"
"441","cg10037521"
"442","cg21115433"
"443","cg12479630"
"444","cg04704947"
"445","cg05786725"
"446","cg24458833"
"447","cg26411549"
"448","cg03512248"
"449","cg26420824"
"450","cg13436232"
"451","cg00972603"
"452","cg09513672"
"453","cg16117248"
"454","cg00107241"
"455","cg05157318"
"456","cg05694921"
"457","cg09810059"
"458","cg01928910"
"459","cg01731204"
"460","cg25204088"
"461","cg13854500"
"462","cg09933215"
"463","cg06537625"
"464","cg08734125"
"465","cg22706424"
"466","cg18368411"
"467","cg07478791"
"468","cg00583861"
"469","cg17879376"
"470","cg00973823"
"471","cg00925616"
"472","cg25192948"
"473","cg17462394"
"474","cg22122885"
"475","cg20846236"
"476","cg22348752"
"477","cg17105151"
"478","cg15726025"
"479","cg21931991"
"480","cg26821750"
"481","cg10994944"
"482","cg15116327"
"483","cg11167537"
"484","cg06713267"
"485","cg19901191"
"486","cg05797186"
"487","cg10993459"
"488","cg26150754"
"489","cg06786238"
"490","cg21167532"
"491","cg15822908"
"492","cg00249030"
"493","cg05627078"
"494","cg08128087"
"495","cg17932726"
"496","cg07351084"
"497","cg11976407"
"498","cg22397446"
"499","cg02487499"
"500","cg24426733"
"501","cg08247053"
"502","cg05695604"
"503","cg01716680"
"504","cg27444150"
"505","cg05046525"
"506","cg03754582"
"507","cg20800296"
"508","cg14181387"
"509","cg07905888"
"510","cg02711976"
"511","cg22851880"
"512","cg18131141"
"513","cg21439896"
"514","cg00543329"
"515","cg06350612"
"516","cg14669906"
"517","cg03397389"
"518","cg13500072"
"519","cg19809977"
"520","cg19695415"
"521","cg07175367"
"522","cg22690046"
"523","cg26030770"
"524","cg15725228"
"525","cg01430725"
"526","cg07167688"
"527","cg02483735"
"528","cg16911275"
"529","cg24673742"
"530","cg27229484"
"531","cg06956098"
"532","cg22712703"
"533","cg04878955"
"534","cg14522793"
"535","cg07362625"
"536","cg04299080"
"537","cg11664456"
"538","cg13207501"
"539","cg13064049"
"540","cg08599259"
"541","cg12714180"
"542","cg15489005"
"543","cg24108215"
"544","cg09359017"
"545","cg14667685"
"546","cg22850304"
"547","cg22080061"
"548","cg08943107"
"549","cg22851420"
"550","cg21011110"
"551","cg10490227"
"552","cg04023370"
"553","cg17013432"
"554","cg26690232"
"555","cg17595347"
"556","cg18646240"
"557","cg08707192"
"558","cg26266862"
"559","cg13683282"
"560","cg09795680"
"561","cg16407604"
"562","cg14285050"
"563","cg10994596"
"564","cg09556632"
"565","cg12610061"
"566","cg02892595"
"567","cg23646212"
"568","cg01804284"
"569","cg20458812"
"570","cg00630164"
"571","cg07906262"
"572","cg13150171"
"573","cg17184491"
"574","cg16432235"
"575","cg12034678"
"576","cg25607920"
"577","cg13547925"
"578","cg02059391"
"579","cg18382599"
"580","cg06982917"
"581","cg25285237"
"582","cg14180916"
"583","cg26188818"
"584","cg14780649"
"585","cg25309558"
"586","cg26153096"
"587","cg24695281"
"588","cg11839415"
"589","cg07719884"
"590","cg25844639"
"591","cg15524063"
"592","cg16045533"
"593","cg09372755"
"594","cg04391356"
"595","cg24324755"
"596","cg18761929"
"597","cg22334962"
"598","cg05050882"
"599","cg04400540"
"600","cg17598323"
"601","cg23736359"
"602","cg00002837"
"603","cg20243285"
"604","cg18017761"
"605","cg01604592"
"606","cg23021241"
"607","cg12643917"
"608","cg10224098"
"609","cg00150520"
"610","cg10808027"
"611","cg26816438"
"612","cg00060606"
"613","cg22023046"
"614","cg14565781"
"615","cg01059432"
"616","cg01913970"
"617","cg17422409"
"618","cg08425065"
"619","cg24119085"
"620","cg26896569"
"621","cg15071854"
"622","cg22536808"
"623","cg18288967"
"624","cg22350160"
"625","cg14220678"
"626","cg26254453"
"627","cg01717636"
"628","cg18577128"
"629","cg06703079"
"630","cg19857071"
"631","cg14709691"
"632","cg26823060"
"633","cg15894467"
"634","cg16163324"
"635","cg19406259"
"636","cg16519173"
"637","cg21915639"
"638","cg24860169"
"639","cg22604316"
"640","cg12663321"
"641","cg15933935"
"642","cg26913791"
"643","cg11528978"
"644","cg15501359"
"645","cg18169994"
"646","cg06619077"
"647","cg02291556"
"648","cg00955828"
"649","cg03752218"
"650","cg08638320"
"651","cg26366304"
"652","cg13682692"
"653","cg09515767"
"654","cg16022575"
"655","cg16013720"
"656","cg06829686"
"657","cg22524657"
"658","cg18540492"
"659","cg12911732"
"660","cg23097402"
"661","cg10512745"
"662","cg12756396"
"663","cg09275956"
"664","cg08890084"
"665","cg16119852"
"666","cg07370959"
"667","cg00162673"
"668","cg14279121"
"669","cg23606758"
"670","cg16965475"
"671","cg25851425"
"672","cg11279444"
"673","cg26827702"
"674","cg16015712"
"675","cg17147442"
"676","cg25381331"
"677","cg18202502"
"678","cg10957254"
"679","cg22814417"
"680","cg11757945"
"681","cg01394013"
"682","cg01633841"
"683","cg02031423"
"684","cg22820285"
"685","cg22041988"
"686","cg19022697"
"687","cg15645660"
"688","cg07976644"
"689","cg25011368"
"690","cg11987231"
"691","cg01444643"
"692","cg25617691"
"693","cg26068551"
"694","cg17491850"
"695","cg03384825"
"696","cg08458292"
"697","cg05375728"
"698","cg04208114"
"699","cg24851854"
"700","cg00543485"
"701","cg15995771"
"702","cg04120428"
"703","cg20690488"
"704","cg04289130"
"705","cg25837719"
"706","cg09588271"
"707","cg16028201"
"708","cg22595806"
"709","cg07377675"
"710","cg10950050"
"711","cg12485685"
"712","cg15617155"
"713","cg06962177"
"714","cg22724741"
"715","cg07160589"
"716","cg20994490"
"717","cg12730853"
"718","cg19745637"
"719","cg14425609"
"720","cg06748470"
"721","cg14792081"
"722","cg13379827"
"723","cg10578696"
"724","cg26615127"
"725","cg18117228"
"726","cg10062258"
"727","cg03607891"
"728","cg27519411"
"729","cg01802975"
"730","cg11152634"
"731","cg16110541"
"732","cg03935244"
"733","cg24509292"
"734","cg23730181"
"735","cg23624008"
"736","cg22718189"
"737","cg00989226"
"738","cg04847795"
"739","cg17218713"
"740","cg23647191"
"741","cg14963735"
"742","cg03726881"
"743","cg05352161"
"744","cg19695945"
"745","cg02709834"
"746","cg01066472"
"747","cg03445694"
"748","cg12764034"
"749","cg07923233"
"750","cg11079823"
"751","cg21526205"
"752","cg22600394"
"753","cg02988267"
"754","cg12604058"
"755","cg03742620"
"756","cg25288420"
"757","cg24719487"
"758","cg10433438"
"759","cg16678153"
"760","cg15575098"
"761","cg17852442"
"762","cg10230190"
"763","cg12432846"
"764","cg25277534"
"765","cg22123915"
"766","cg20293609"
"767","cg00418071"
"768","cg07015775"
"769","cg00466121"
"770","cg12747844"
"771","cg06785712"
"772","cg04579203"
"773","cg03423077"
"774","cg15823064"
"775","cg10200477"
"776","cg01393939"
"777","cg20288836"
"778","cg09070697"
"779","cg00388605"
"780","cg14010405"
"781","cg00083652"
"782","cg16529307"
"783","cg06549928"
"784","cg00660251"
"785","cg20988109"
"786","cg22507154"
"787","cg26072058"
"788","cg15992284"
"789","cg04560225"
"790","cg14419975"
"791","cg16400631"
"792","cg12525822"
"793","cg23216101"
"794","cg10890233"
"795","cg13599025"
"796","cg05027081"
"797","cg06915918"
"798","cg15207618"
"799","cg00342358"
"800","cg23636324"
"801","cg01515515"
"802","cg03421440"
"803","cg23600177"
"804","cg23712405"
"805","cg18316974"
"806","cg23812393"
"807","cg11412935"
"808","cg26015176"
"809","cg20813081"
"810","cg20164253"
"811","cg00661620"
"812","cg15463775"
"813","cg05962718"
"814","cg18760729"
"815","cg05797295"
"816","cg04938255"
"817","cg19906608"
"818","cg13856647"
"819","cg09326529"
"820","cg18143535"
"821","cg22045340"
"822","cg04101267"
"823","cg05043032"
"824","cg02898122"
"825","cg07825681"
"826","cg11584101"
"827","cg17985656"
"828","cg21451265"
"829","cg00033127"
"830","cg06060191"
"831","cg09517251"
"832","cg12909559"
"833","cg14022530"
"834","cg07568665"
"835","cg22602002"
"836","cg19633675"
"837","cg07354738"
"838","cg04365817"
"839","cg18323466"
"840","cg18757941"
"841","cg07400091"
"842","cg16589486"
"843","cg05270922"
"844","cg03520644"
"845","cg02636497"
"846","cg05337192"
"847","cg12727462"
"848","cg11911399"
"849","cg21877005"
"850","cg15701440"
"851","cg16998883"
"852","cg08945988"
"853","cg11857025"
"854","cg27528695"
"855","cg16257375"
"856","cg07319143"
"857","cg08911820"
"858","cg15597480"
"859","cg12419308"
"860","cg21644334"
"861","cg01564068"
"862","cg25210835"
"863","cg19406040"
"864","cg06809252"
"865","cg07598082"
"866","cg00924484"
"867","cg04161784"
"868","cg12690333"
"869","cg21787620"
"870","cg13400003"
"871","cg08864105"
"872","cg26115312"
"873","cg07197785"
"874","cg02847098"
"875","cg19410790"
"876","cg11794881"
"877","cg04787602"
"878","cg17427781"
"879","cg07723921"
"880","cg27312071"
"881","cg23923856"
"882","cg19260885"
"883","cg14377169"
"884","cg08355353"
"885","cg06201907"
"886","cg00963079"
"887","cg16709384"
"888","cg14912723"
"889","cg09845488"
"890","cg07212644"
"891","cg16145701"
"892","cg24357276"
"893","cg01567634"
"894","cg19901801"
"895","cg02157078"
"896","cg25720121"
"897","cg00337821"
"898","cg17645130"
"899","cg23620052"
"900","cg03964233"
"901","cg10440578"
"902","cg15558982"
"903","cg25067242"
"904","cg21863110"
"905","cg24106636"
"906","cg23247704"
"907","cg02855836"
"908","cg11855834"
"909","cg00027570"
"910","cg20963995"
"911","cg06854150"
"912","cg00810529"
"913","cg16411979"
"914","cg16713069"
"915","cg03140827"
"916","cg15080701"
"917","cg14962774"
"918","cg01105494"
"919","cg24884142"
"920","cg01912586"
"921","cg23281832"
"922","cg20823455"
"923","cg03852045"
"924","cg18788524"
"925","cg25197698"
"926","cg21404935"
"927","cg03393821"
"928","cg15395193"
"929","cg03987003"
"930","cg26022992"
"931","cg27236173"
"932","cg17949451"
"933","cg03852219"
"934","cg17175624"
"935","cg22619763"
"936","cg22690212"
"937","cg19301058"
"938","cg05161602"
"939","cg11659025"
"940","cg25200152"
"941","cg04869838"
"942","cg03102494"
"943","cg22685226"
"944","cg17906269"
"945","cg09822051"
"946","cg07231649"
"947","cg07315993"
"948","cg15642292"
"949","cg10055771"
"950","cg09415814"
"951","cg23115219"
"952","cg11404129"
"953","cg16559275"
"954","cg24441324"
"955","cg26546646"
"956","cg11821626"
"957","cg24294159"
"958","cg05630111"
"959","cg24547755"
"960","cg20316304"
"961","cg07367563"
"962","cg25621096"
"963","cg08473456"
"964","cg00569385"
"965","cg07371589"
"966","cg00427454"
"967","cg27228276"
"968","cg09185948"
"969","cg24720336"
"970","cg17859048"
"971","cg08236358"
"972","cg02388783"
"973","cg17278771"
"974","cg02978142"
"975","cg06221680"
"976","cg07804111"
"977","cg22604218"
"978","cg24425838"
"979","cg03106313"
"980","cg01603146"
"981","cg24645670"
"982","cg01057742"
"983","cg05921170"
"984","cg24155129"
"985","cg06872500"
"986","cg20672465"
"987","cg04990202"
"988","cg17973565"
"989","cg07240937"
"990","cg07961659"
"991","cg06173481"
"992","cg16247817"
"993","cg15893127"
"994","cg22153745"
"995","cg14198950"
"996","cg07704502"
"997","cg02861733"
"998","cg19939555"
"999","cg26036199"
"1000","cg07948599"
"1001","cg09895920"
"1002","cg09275000"
"1003","cg24000797"
"1004","cg17167920"
"1005","cg09373211"
"1006","cg24296484"
"1007","cg20489272"
"1008","cg00151906"
"1009","cg11135108"
"1010","cg25017976"
"1011","cg26310319"
"1012","cg00449821"
"1013","cg11750116"
"1014","cg00634145"
"1015","cg12771053"
"1016","cg06193775"
"1017","cg14666069"
"1018","cg15497761"
"1019","cg17257175"
"1020","cg12678006"
"1021","cg16813767"
"1022","cg21908287"
"1023","cg01802344"
"1024","cg06444207"
"1025","cg05397514"
"1026","cg23109894"
"1027","cg14788660"
"1028","cg09133422"
"1029","cg04706183"
"1030","cg20773956"
"1031","cg10231603"
"1032","cg27295678"
"1033","cg04574991"
"1034","cg00090103"
"1035","cg14524775"
"1036","cg10829264"
"1037","cg07588109"
"1038","cg22505746"
"1039","cg00304959"
"1040","cg18130800"
"1041","cg02696763"
"1042","cg10096929"
"1043","cg27228868"
"1044","cg06267636"
"1045","cg24361162"
"1046","cg09793584"
"1047","cg26016210"
"1048","cg14087168"
"1049","cg00089372"
"1050","cg10634096"
"1051","cg18806512"
"1052","cg24041872"
"1053","cg16269733"
"1054","cg11823463"
"1055","cg24251193"
"1056","cg11949207"
"1057","cg17487993"
"1058","cg18534318"
"1059","cg09936845"
"1060","cg22629266"
"1061","cg13795627"
"1062","cg08231697"
"1063","cg14086045"
"1064","cg13844591"
"1065","cg11977941"
"1066","cg22335802"
"1067","cg06764092"
"1068","cg02985724"
"1069","cg02994162"
"1070","cg13552867"
"1071","cg26146390"
"1072","cg22802111"
"1073","cg09254318"
"1074","cg27510197"
"1075","cg15623398"
"1076","cg01551350"
"1077","cg24645681"
"1078","cg13906823"
"1079","cg24599107"
"1080","cg16673712"
"1081","cg09755039"
"1082","cg12584865"
"1083","cg07835668"
"1084","cg17010827"
"1085","cg15089025"
"1086","cg27311414"
"1087","cg10318121"
"1088","cg27223727"
"1089","cg11214962"
"1090","cg13788685"
"1091","cg02620307"
"1092","cg08527195"
"1093","cg02832305"
"1094","cg26663636"
"1095","cg02973320"
"1096","cg13485746"
"1097","cg01782790"
"1098","cg17140133"
"1099","cg06750897"
"1100","cg10815625"
"1101","cg26907429"
"1102","cg07564188"
"1103","cg09277749"
"1104","cg02229993"
"1105","cg23615262"
"1106","cg24429881"
"1107","cg16562251"
"1108","cg15896487"
"1109","cg26248173"
"1110","cg26677602"
"1111","cg09032544"
"1112","cg01510813"
"1113","cg01782826"
"1114","cg17446970"
"1115","cg10994639"
"1116","cg04405332"
"1117","cg05702448"
"1118","cg13579901"
"1119","cg18018245"
"1120","cg15066556"
"1121","cg00040367"
"1122","cg03348149"
"1123","cg20146489"
"1124","cg09767346"
"1125","cg07149609"
"1126","cg22371492"
"1127","cg00540353"
"1128","cg14826401"
"1129","cg01832569"
"1130","cg16409744"
"1131","cg00042657"
"1132","cg09247534"
"1133","cg18280007"
"1134","cg12072587"
"1135","cg21384371"
"1136","cg26937809"
"1137","cg04705273"
"1138","cg06033268"
"1139","cg18539546"
"1140","cg09319617"
"1141","cg24932457"
"1142","cg17105834"
"1143","cg20846447"
"1144","cg01931994"
"1145","cg17110006"
"1146","cg26915952"
"1147","cg14205576"
"1148","cg26691567"
"1149","cg05350800"
"1150","cg14014471"
"1151","cg15396800"
"1152","cg10821136"
"1153","cg14024780"
"1154","cg27230496"
"1155","cg22225298"
"1156","cg08229358"
"1157","cg20701486"
"1158","cg15545772"
"1159","cg20318608"
"1160","cg09126043"
"1161","cg21944557"
"1162","cg03396826"
"1163","cg22683038"
"1164","cg08650426"
"1165","cg07320311"
"1166","cg05267654"
"1167","cg10500218"
"1168","cg19827716"
"1169","cg07168274"
"1170","cg20741134"
"1171","cg21963643"
"1172","cg01419479"
"1173","cg23045255"
"1174","cg00153856"
"1175","cg07144296"
"1176","cg03982831"
"1177","cg09228562"
"1178","cg26013028"
"1179","cg07180603"
"1180","cg26018965"
"1181","cg19300655"
"1182","cg12222949"
"1183","cg09994391"
"1184","cg13788537"
"1185","cg14172633"
"1186","cg17031493"
"1187","cg10180406"
"1188","cg12047012"
"1189","cg05931087"
"1190","cg08913815"
"1191","cg21155063"
"1192","cg14790772"
"1193","cg00774769"
"1194","cg00564737"
"1195","cg10519406"
"1196","cg02736602"
"1197","cg17723299"
"1198","cg16353957"
"1199","cg19704348"
"1200","cg08128826"
"1201","cg23996829"
"1202","cg18394216"
"1203","cg00001583"
"1204","cg17873998"
"1205","cg24412469"
"1206","cg10311240"
"1207","cg16010827"
"1208","cg03940137"
"1209","cg13300273"
"1210","cg16409409"
"1211","cg21406113"
"1212","cg12587954"
"1213","cg21300719"
"1214","cg18157738"
"1215","cg25367926"
"1216","cg21306294"
"1217","cg24859316"
"1218","cg13554744"
"1219","cg20947259"
"1220","cg04287574"
"1221","cg00946032"
"1222","cg09857259"
"1223","cg18793088"
"1224","cg20568322"
"1225","cg17589325"
"1226","cg15622697"
"1227","cg09120138"
"1228","cg04125586"
"1229","cg17219660"
"1230","cg04364194"
"1231","cg08649954"
"1232","cg09887955"
"1233","cg09363587"
"1234","cg13976253"
"1235","cg23278267"
"1236","cg04504182"
"1237","cg08915090"
"1238","cg24354901"
"1239","cg15891747"
"1240","cg06525051"
"1241","cg23808931"
"1242","cg03655662"
"1243","cg11713664"
"1244","cg23098069"
"1245","cg00256767"
"1246","cg06637812"
"1247","cg13090058"
"1248","cg09852199"
"1249","cg25407979"
"1250","cg22733051"
"1251","cg21680979"
"1252","cg22817352"
"1253","cg08241939"
"1254","cg13098379"
"1255","cg01418162"
"1256","cg20290360"
"1257","cg21214746"
"1258","cg00997411"
"1259","cg13459217"
"1260","cg02954735"
"1261","cg15651650"
"1262","cg06903544"
"1263","cg12081870"
"1264","cg03220945"
"1265","cg00783945"
"1266","cg17284384"
"1267","cg24054215"
"1268","cg06524630"
"1269","cg17940251"
"1270","cg17220933"
"1271","cg03812320"
"1272","cg08128274"
"1273","cg00008647"
"1274","cg10234282"
"1275","cg22714290"
"1276","cg04872593"
"1277","cg14027857"
"1278","cg14201291"
"1279","cg08920249"
"1280","cg00257659"
"1281","cg06616057"
"1282","cg27167413"
"1283","cg04352962"
"1284","cg06098761"
"1285","cg20270863"
"1286","cg05723989"
"1287","cg07309941"
"1288","cg23057040"
"1289","cg12735892"
"1290","cg19234983"
"1291","cg04976746"
"1292","cg20999912"
"1293","cg24143933"
"1294","cg15066577"
"1295","cg10196290"
"1296","cg07915981"
"1297","cg14988680"
"1298","cg05817664"
"1299","cg21281234"
"1300","cg24141233"
"1301","cg20613400"
"1302","cg16008609"
"1303","cg09163958"
"1304","cg17087479"
"1305","cg23992410"
"1306","cg04976324"
"1307","cg22489498"
"1308","cg16402835"
"1309","cg07031542"
"1310","cg11753771"
"1311","cg22719308"
"1312","cg05699035"
"1313","cg19646445"
"1314","cg22356593"
"1315","cg15686216"
"1316","cg18765678"
"1317","cg21964391"
"1318","cg26930448"
"1319","cg17934824"
"1320","cg01558923"
"1321","cg03599978"
"1322","cg20796294"
"1323","cg14825828"
"1324","cg13560871"
"1325","cg26000554"
"1326","cg09767598"
"1327","cg22698272"
"1328","cg04436994"
"1329","cg25001102"
"1330","cg26047066"
"1331","cg08708209"
"1332","cg11661340"
"1333","cg19756947"
"1334","cg15993834"
"1335","cg13855472"
"1336","cg07786256"
"1337","cg04232325"
"1338","cg22372182"
"1339","cg01394349"
"1340","cg19939503"
"1341","cg19318393"
"1342","cg12129117"
"1343","cg23440816"
"1344","cg15481858"
"1345","cg15544650"
"1346","cg24162759"
"1347","cg16247183"
"1348","cg26902504"
"1349","cg11186155"
"1350","cg06939851"
"1351","cg00090648"
"1352","cg22082216"
"1353","cg11485704"
"1354","cg25894045"
"1355","cg06314646"
"1356","cg12427029"
"1357","cg05694164"
"1358","cg11408656"
"1359","cg25135922"
"1360","cg15651835"
"1361","cg04439128"
"1362","cg02088626"
